"taxon_name","accepted_wcvp_name","accepted_wcvp_name_binomial"
"Halesia carolina L.","Halesia carolina L.","Halesia carolina"
"Halesia diptera Ellis","Halesia diptera L.","Halesia diptera"
"Halesia sp.","Halesia sp.","Halesia sp."
"Halodule wrightii Asch.","Halodule wrightii Asch.","Halodule wrightii"
"Halogeton glomeratus (M. Bieb.) C.A. Mey.","Halogeton glomeratus (M.Bieb.) Ledeb.","Halogeton glomeratus"
"Hamamelis sp.","Hamamelis sp.","Hamamelis sp."
"Hamamelis virginiana L.","Hamamelis virginiana L.","Hamamelis virginiana"
"Harpagonella palmeri A. Gray","Harpagonella palmeri A.Gray","Harpagonella palmeri"
"Polygala barbeyana Chod.","Hebecarpa barbeyana (Chodat) J.R.Abbott","Hebecarpa barbeyana"
"Hedeoma drummondii Benth.","Hedeoma drummondii Benth.","Hedeoma drummondii"
"Hedeoma hispida Pursh","Hedeoma hispida Pursh","Hedeoma hispida"
"Hedeoma pulegioides (L.) Pers.","Hedeoma pulegioides (L.) Pers.","Hedeoma pulegioides"
"Hedeoma sp.","Hedeoma sp.","Hedeoma sp."
"Hedera helix L.","Hedera helix L.","Hedera helix"
"Hedysarum boreale Nutt.","Hedysarum boreale Nutt.","Hedysarum boreale"
"Hedysarum sp.","Hedysarum sp.","Hedysarum sp."
"Echinodorus tenellus (Mart. ex Schult. f.) Buchenau","Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.","Helanthium tenellum"
"Helenium amarum (Raf.) H. Rock","Helenium amarum (Raf.) H.Rock","Helenium amarum"
"Helenium bigelovii A. Gray","Helenium bigelovii A.Gray","Helenium bigelovii"
"Helenium microcephalum DC.","Helenium microcephalum DC.","Helenium microcephalum"
"Helianthella californica A. Gray","Helianthella californica A.Gray","Helianthella californica"
"Helianthella quinquenervis (Hook.) A. Gray","Helianthella quinquenervis (Hook.) A.Gray","Helianthella quinquenervis"
"Helianthella uniflora (Nutt.) Torr. & A. Gray","Helianthella uniflora Torr. & A.Gray","Helianthella uniflora"
"Helianthella uniflora (Nutt.) Torr. & A. Gray var. uniflora","Helianthella uniflora (Nutt.) Torr. & A. Gray var. uniflora","Helianthella uniflora"
"Helianthemum sp.","Helianthemum sp.","Helianthemum sp."
"Helianthus angustifolius L.","Helianthus angustifolius L.","Helianthus angustifolius"
"Helianthus annuus L.","Helianthus annuus L.","Helianthus annuus"
"Helianthus atrorubens L.","Helianthus atrorubens L.","Helianthus atrorubens"
"Helianthus decapetalus L.","Helianthus decapetalus L.","Helianthus decapetalus"
"Helianthus divaricatus L.","Helianthus divaricatus L.","Helianthus divaricatus"
"Helianthus grosseserratus M. Martens","Helianthus grosseserratus M.Martens","Helianthus grosseserratus"
"Helianthus hirsutus Raf.","Helianthus hirsutus Raf.","Helianthus hirsutus"
"Helianthus laciniatus A. Gray","Helianthus laciniatus A.Gray","Helianthus laciniatus"
"Helianthus longifolius Pursh","Helianthus longifolius Pursh","Helianthus longifolius"
"Helianthus maximiliani Schrad.","Helianthus maximiliani Schrad.","Helianthus maximiliani"
"Helianthus microcephalus Torr. & A. Gray","Helianthus microcephalus Torr. & A.Gray","Helianthus microcephalus"
"Helianthus occidentalis Riddell","Helianthus occidentalis Riddell","Helianthus occidentalis"
"Helianthus pauciflorus Nutt. ssp. pauciflorus","Helianthus pauciflorus subsp. pauciflorus","Helianthus pauciflorus"
"Helianthus pauciflorus Nutt.","Helianthus pauciflorus Nutt.","Helianthus pauciflorus"
"Helianthus petiolaris Nutt.","Helianthus petiolaris Nutt.","Helianthus petiolaris"
"Helianthus radula (Pursh) Torr. & A. Gray","Helianthus radula (Pursh) Torr. & A.Gray","Helianthus radula"
"Helianthus salicifolius A. Dietr.","Helianthus salicifolius A.Dietr.","Helianthus salicifolius"
"Helianthus sp.","Helianthus sp.","Helianthus sp."
"Helianthus spp.","Helianthus spp.","Helianthus sp."
"Helianthus mollis Lam.","Helianthus strumosus L.","Helianthus strumosus"
"Helianthus strumosus L.","Helianthus strumosus L.","Helianthus strumosus"
"Helianthus tuberosus L.","Helianthus tuberosus L.","Helianthus tuberosus"
"Helichrysum sp.","Helichrysum sp.","Helichrysum sp."
"Helicteres jamaicensis Jacq.","Helicteres jamaicensis Jacq.","Helicteres jamaicensis"
"Avenula hookeri (Scribn.) Holub","Helictochloa hookeri (Scribn.) Romero Zarco","Helictochloa hookeri"
"Helictotrichon mortonianum (Scribn.) Henr.","Helictotrichon mortonianum (Scribn.) Henrard","Helictotrichon mortonianum"
"Heliomeris longifolia (B.L. Rob. & Greenm.) Cockerell","Heliomeris longifolia Cockerell","Heliomeris longifolia"
"Heliomeris sp.","Heliomeris sp.","Heliomeris sp."
"Heliopsis helianthoides (L.) Sweet","Heliopsis helianthoides (L.) Sweet","Heliopsis helianthoides"
"Heliopsis helianthoides (L.) Sweet var. helianthoides","Heliopsis helianthoides var. helianthoides","Heliopsis helianthoides"
"Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald","Heliopsis helianthoides var. scabra (Dunal) Fernald","Heliopsis helianthoides"
"Heliotropium angiospermum Murray","Heliotropium angiospermum Murray","Heliotropium angiospermum"
"Heliotropium curassavicum L. var. obovatum DC.","Heliotropium curassavicum var. obovatum DC.","Heliotropium curassavicum"
"Heliotropium indicum L.","Heliotropium indicum L.","Heliotropium indicum"
"Heliotropium sp.","Heliotropium sp.","Heliotropium sp."
"Pellaea atropurpurea (L.) Link","Hemionitis atropurpurea (L.) Christenh.","Hemionitis atropurpurea"
"Pellaea bridgesii Hook.","Hemionitis bridgesii (Hook.) Christenh.","Hemionitis bridgesii"
"Aspidotis densa (Brack.) Lellinger","Hemionitis densa (Brack.) Christenh.","Hemionitis densa"
"Bommeria hispida (Mett. ex Kuhn) Underw.","Hemionitis hispida (Mett.) Christenh.","Hemionitis hispida"
"Argyrochosma jonesii (Maxon) Windham","Hemionitis jonesii (Maxon) Christenh.","Hemionitis jonesii"
"Gaga kaulfussii (Kunze) F.W. Li & Windham","Hemionitis kaulfussii (Kunze) Christenh.","Hemionitis kaulfussii"
"Cheilanthes lanosa (Michx.) D.C. Eaton","Hemionitis lanosa (Michx.) Christenh.","Hemionitis lanosa"
"Pellaea mucronata (D.C. Eaton) D.C. Eaton ssp. mucronata","Hemionitis mucronata (D.C.Eaton) Christenh.","Hemionitis mucronata"
"Pellaea mucronata (D.C. Eaton) D.C. Eaton","Hemionitis mucronata (D.C.Eaton) Christenh.","Hemionitis mucronata"
"Cheilanthes notholaenoides (Desv.) Maxon ex Weath.","Hemionitis notholaenoides (Desv.) Christenh.","Hemionitis notholaenoides"
"Pentagramma pallida (Weath.) Yatsk., Windham & E. Wollenw.","Hemionitis pallida (Baker) Christenh.","Hemionitis pallida"
"Pentagramma triangularis (Kaulf.) Yatsk., Windham & E. Wollenw.","Hemionitis triangularis (Kaulf.) Christenh.","Hemionitis triangularis"
"Cheilanthes villosa Davenport ex Maxon","Hemionitis villosa (Davenp. ex Maxon) Christenh.","Hemionitis villosa"
"Hemitomes congestum A. Gray","Hemitomes congestum A.Gray","Hemitomes congestum"
"Hemitomes sp.","Hemitomes sp.","Hemitomes sp."
"Hemizonella minima (A. Gray) A. Gray","Hemizonella minima A.Gray","Hemizonella minima"
"Hemizonella sp.","Hemizonella sp.","Hemizonella sp."
"Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.","Hepatica americana var. americana","Hepatica americana"
"Hepatica nobilis Schreb. var. acuta (Pursh) Steyerm.","Hepatica americana var. acuta (Pursh) Mabuchi & J.Massey","Hepatica americana"
"Hepatica nobilis Schreb.","Hepatica nobilis Schreb.","Hepatica nobilis"
"Hepatica sp.","Hepatica sp.","Hepatica sp."
"Heracleum maximum W. Bartram","Heracleum maximum W.Bartram","Heracleum maximum"
"Heracleum sp.","Heracleum sp.","Heracleum sp."
"Herissantia crispa (L.) Briz.","Herissantia crispa (L.) Brizicky","Herissantia crispa"
"Hesperis matronalis L.","Hesperis matronalis L.","Hesperis matronalis"
"Hesperostipa comata (Trin. & Rupr.) Barkworth","Hesperostipa comata (Trin. & Rupr.) Barkworth","Hesperostipa comata"
"Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. intermedia (Scribn. & Tweedy) Barkworth","Hesperostipa comata subsp. intermedia (Scribn. & Tweedy) Barkworth","Hesperostipa comata"
"Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata","Hesperostipa comata subsp. comata","Hesperostipa comata"
"Hesperostipa sp.","Hesperostipa sp.","Hesperostipa sp."
"Hesperostipa spp.","Hesperostipa spp.","Hesperostipa sp."
"Hesperostipa spartea (Trin.) Barkworth","Hesperostipa spartea (Trin.) Barkworth","Hesperostipa spartea"
"Heterocodon rariflorum Nutt.","Heterocodon rariflorum Nutt.","Heterocodon rariflorum"
"Heteropogon contortus (L.) P. Beauv. ex Roem. & Schult.","Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.","Heteropogon contortus"
"Heteropogon sp.","Heteropogon sp.","Heteropogon sp."
"Heteropterys purpurea (L.) Kunth","Heteropterys purpurea (L.) Kunth","Heteropterys purpurea"
"Heterotheca canescens (DC.) Shinners","Heterotheca canescens (DC.) Shinners","Heterotheca canescens"
"Heterotheca villosa (Pursh) Shinners var. depressa (Rydb.) Semple","Heterotheca depressa (Rydb.) Dorn","Heterotheca depressa"
"Heterotheca pumila (Greene) Semple","Heterotheca pumila (Greene) Semple","Heterotheca pumila"
"Heterotheca sp.","Heterotheca sp.","Heterotheca sp."
"Heterotheca subaxillaris (Lam.) Britton & Rusby","Heterotheca subaxillaris (Lam.) Britton & Rusby","Heterotheca subaxillaris"
"Heterotheca villosa (Pursh) Shinners","Heterotheca villosa (Pursh) Shinners","Heterotheca villosa"
"Heterotheca villosa (Pursh) Shinners var. villosa","Heterotheca villosa (Pursh) Shinners","Heterotheca villosa"
"Heterotheca villosa (Pursh) Shinners var. foliosa (Nutt.) V.L. Harms","Heterotheca villosa (Pursh) Shinners","Heterotheca villosa"
"Heuchera americana L.","Heuchera americana L.","Heuchera americana"
"Heuchera bracteata (Torr.) Ser.","Heuchera bracteata (Torr.) Ser.","Heuchera bracteata"
"Heuchera cylindrica Douglas ex Hook.","Heuchera cylindrica Douglas","Heuchera cylindrica"
"Heuchera cylindrica Douglas ex Hook. var. cylindrica","Heuchera cylindrica Douglas ex Hook. var. cylindrica","Heuchera cylindrica"
"Heuchera flabellifolia Rydb. var. flabellifolia","Heuchera flabellifolia Rydb. var. flabellifolia","Heuchera flabellifolia"
"Heuchera glabra Willd. ex Roem. & Schult.","Heuchera glabra Willd. ex Schult.","Heuchera glabra"
"Heuchera parvifolia Nutt. ex Torr. & A. Gray","Heuchera parvifolia Nutt.","Heuchera parvifolia"
"Heuchera richardsonii R. Br.","Heuchera richardsonii R.Br.","Heuchera richardsonii"
"Heuchera sp.","Heuchera sp.","Heuchera sp."
"Heuchera spp.","Heuchera spp.","Heuchera sp."
"Heuchera villosa Michx. var. villosa","Heuchera villosa var. villosa","Heuchera villosa"
"Heuchera villosa Michx.","Heuchera villosa Michx.","Heuchera villosa"
"Diodia apiculata (Willd. ex Roem. & Schult.) K. Schum.","Hexasepalum apiculatum (Willd.) Delprete & J.H.Kirkbr.","Hexasepalum apiculatum"
"Diodia teres Walter","Hexasepalum teres (Walter) J.H.Kirkbr.","Hexasepalum teres"
"Hexastylis sp.","Hexastylis sp.","Hexastylis sp."
"Hibiscus denudatus Benth.","Hibiscus denudatus Benth.","Hibiscus denudatus"
"Hibiscus grandiflorus Michx.","Hibiscus grandiflorus Michx.","Hibiscus grandiflorus"
"Hibiscus laevis All.","Hibiscus laevis All.","Hibiscus laevis"
"Hibiscus lasiocarpos Cav.","Hibiscus moscheutos subsp. lasiocarpos (Cav.) O.J.Blanch.","Hibiscus moscheutos"
"Hibiscus phoeniceus Jacq.","Hibiscus phoeniceus Jacq.","Hibiscus phoeniceus"
"Hibiscus sp.","Hibiscus sp.","Hibiscus sp."
"Hibiscus spp.","Hibiscus spp.","Hibiscus sp."
"Hibiscus trionum L.","Hibiscus trionum L.","Hibiscus trionum"
"Hieracium albiflorum Hook.","Hieracium albiflorum Hook.","Hieracium albiflorum"
"Hieracium gracile Hook. var. gracile","Hieracium gracile Hook. var. gracile","Hieracium gracile"
"Hieracium gronovii L.","Hieracium gronovii L.","Hieracium gronovii"
"Hieracium lachenalii C.C. Gmel.","Hieracium lachenalii Suter","Hieracium lachenalii"
"Hieracium longipilum Torr.","Hieracium longipilum Torr. ex Hook.","Hieracium longipilum"
"Hieracium megacephalon Nash","Hieracium megacephalon Nash","Hieracium megacephalon"
"Hieracium paniculatum L.","Hieracium paniculatum L.","Hieracium paniculatum"
"Hieracium scabrum Michx.","Hieracium scabrum Michx.","Hieracium scabrum"
"Hieracium scouleri Hook.","Hieracium scouleri Hook.","Hieracium scouleri"
"Hieracium scouleri Hook. var. albertinum (Farr) G.W. Douglas & G.A. Allen","Hieracium scouleri Hook.","Hieracium scouleri"
"Hieracium sp.","Hieracium sp.","Hieracium sp."
"Hieracium spp.","Hieracium spp.","Hieracium sp."
"Hieracium greenii Porter & Britton","Hieracium traillii Greene","Hieracium traillii"
"Hieracium gracile Hook.","Hieracium triste Willd. ex Spreng.","Hieracium triste"
"Hieracium kalmii L.","Hieracium umbellatum subsp. umbellatum","Hieracium umbellatum"
"Hieracium umbellatum L.","Hieracium umbellatum L.","Hieracium umbellatum"
"Hieracium venosum L.","Hieracium venosum L.","Hieracium venosum"
"Hilaria belangeri (Steud.) Nash","Hilaria belangeri (Steud.) Nash","Hilaria belangeri"
"Hilaria belangeri (Steud.) Nash var. longifolia (Vasey) Hitchc.","Hilaria belangeri var. longifolia (Vasey ex Beal) Hitchc.","Hilaria belangeri"
"Pleuraphis jamesii Torr.","Hilaria jamesii (Torr.) Benth.","Hilaria jamesii"
"Hilaria sp.","Hilaria sp.","Hilaria sp."
"Hirschfeldia incana (L.) Lagr.-Foss.","Hirschfeldia incana (L.) Lagr.-Foss.","Hirschfeldia incana"
"Hirschfeldia sp.","Hirschfeldia sp.","Hirschfeldia sp."
"Hirtella triandra Sw.","Hirtella triandra Sw.","Hirtella triandra"
"Hoffmannseggia drepanocarpa A. Gray","Hoffmannseggia drepanocarpa A.Gray","Hoffmannseggia drepanocarpa"
"Hoffmannseggia sp.","Hoffmannseggia sp.","Hoffmannseggia sp."
"Holcus lanatus L.","Holcus lanatus L.","Holcus lanatus"
"Holcus sp.","Holcus sp.","Holcus sp."
"Holodiscus discolor (Pursh) Maxim.","Holodiscus discolor (Pursh) Maxim.","Holodiscus discolor"
"Panicum obtusum Kunth","Hopia obtusa (Kunth) Zuloaga & Morrone","Hopia obtusa"
"Hordeum jubatum L.","Hordeum jubatum L.","Hordeum jubatum"
"Hordeum marinum Huds.","Hordeum marinum Huds.","Hordeum marinum"
"Hordeum marinum Huds. ssp. gussoneanum (Parl.) Thell.","Hordeum marinum subsp. gussoneanum (Parl.) Thell.","Hordeum marinum"
"Hordeum marinum/murinum","Hordeum marinum","Hordeum marinum"
"Hordeum murinum L. ssp. leporinum (Link) Arcang.","Hordeum murinum subsp. leporinum (Link) Arcang.","Hordeum murinum"
"Hordeum murinum L.","Hordeum murinum L.","Hordeum murinum"
"Hordeum pusillum Nutt.","Hordeum pusillum Nutt.","Hordeum pusillum"
"Hordeum sp.","Hordeum sp.","Hordeum sp."
"Horkelia tridentata Torr. ssp. tridentata","Horkelia tridentata Torr. ssp. tridentata","Horkelia tridentata"
"Lotus oblongifolius (Benth.) Greene","Hosackia oblongifolia Benth.","Hosackia oblongifolia"
"Lotus aboriginus Jeps.","Hosackia rosea Eastw.","Hosackia rosea"
"Houstonia caerulea L.","Houstonia caerulea L.","Houstonia caerulea"
"Houstonia croftiae Britton & Rusby","Houstonia croftiae Britton & Rusby","Houstonia croftiae"
"Houstonia humifusa (A. Gray) A. Gray","Houstonia humifusa (Engelm. ex A.Gray) A.Gray","Houstonia humifusa"
"Houstonia longifolia Gaertn.","Houstonia longifolia Gaertn.","Houstonia longifolia"
"Houstonia procumbens (Walter ex J.F. Gmel.) Standl.","Houstonia procumbens (Walter ex J.F.Gmel.) Standl.","Houstonia procumbens"
"Houstonia purpurea L. var. purpurea","Houstonia purpurea var. purpurea","Houstonia purpurea"
"Houstonia purpurea L.","Houstonia purpurea L.","Houstonia purpurea"
"Houstonia pusilla Schoepf","Houstonia pusilla Schoepf","Houstonia pusilla"
"Houstonia serpyllifolia Michx.","Houstonia serpyllifolia Michx.","Houstonia serpyllifolia"
"Houstonia sp.","Houstonia sp.","Houstonia sp."
"Humulus lupulus L.","Humulus lupulus L.","Humulus lupulus"
"Humulus japonicus Siebold & Zucc.","Humulus scandens (Lour.) Merr.","Humulus scandens"
"Huperzia lucidula (Michx.) Trevis.","Huperzia lucidula (Michx.) Trevis.","Huperzia lucidula"
"Huperzia selago (L.) Bernh. ex Schrank & Mart.","Huperzia selago (L.) Bernh. ex Schrank & Mart.","Huperzia selago"
"Huperzia sp.","Huperzia sp.","Huperzia sp."
"Hybanthus sp.","Hybanthus sp.","Hybanthus sp."
"Hydrangea arborescens L.","Hydrangea arborescens L.","Hydrangea arborescens"
"Broussaisia arguta Gaudich.","Hydrangea arguta (Gaudich.) Y.De Smet & Granados","Hydrangea arguta"
"Decumaria barbara L.","Hydrangea barbara (L.) Bernd Schulz","Hydrangea barbara"
"Hydrangea cinerea Small","Hydrangea cinerea Small","Hydrangea cinerea"
"Hydrangea quercifolia W. Bartram","Hydrangea quercifolia W.Bartram","Hydrangea quercifolia"
"Hydrangea sp.","Hydrangea sp.","Hydrangea sp."
"Limnobium spongia (Bosc) Rich. ex Steud.","Hydrocharis spongia Bosc","Hydrocharis spongia"
"Hydrocotyle americana L.","Hydrocotyle americana L.","Hydrocotyle americana"
"Hydrocotyle bonariensis Comm. ex Lam.","Hydrocotyle bonariensis Comm. ex Lam.","Hydrocotyle bonariensis"
"Hydrocotyle ranunculoides L. f.","Hydrocotyle ranunculoides L.f.","Hydrocotyle ranunculoides"
"Hydrocotyle sp.","Hydrocotyle sp.","Hydrocotyle sp."
"Hydrocotyle umbellata L.","Hydrocotyle umbellata L.","Hydrocotyle umbellata"
"Hydrocotyle verticillata Thunb.","Hydrocotyle verticillata Thunb.","Hydrocotyle verticillata"
"Hydrolea quadrivalvis Walter","Hydrolea quadrivalvis Walter","Hydrolea quadrivalvis"
"Hydrolea uniflora Raf.","Hydrolea uniflora Raf.","Hydrolea uniflora"
"Hydrophyllum canadense L.","Hydrophyllum canadense L.","Hydrophyllum canadense"
"Hydrophyllum tenuipes A. Heller","Hydrophyllum tenuipes A.Heller","Hydrophyllum tenuipes"
"Hydrophyllum virginianum L.","Hydrophyllum virginianum L.","Hydrophyllum virginianum"
"Hylocereus spp.","Hylocereus spp.","Hylocereus sp."
"Desmodium glutinosum (Muhl. ex Willd.) Alph. Wood","Hylodesmum glutinosum (Muhl. ex Willd.) H.Ohashi & R.R.Mill","Hylodesmum glutinosum"
"Desmodium nudiflorum (L.) DC.","Hylodesmum nudiflorum (L.) H.Ohashi & R.R.Mill","Hylodesmum nudiflorum"
"Desmodium pauciflorum (Nutt.) DC.","Hylodesmum pauciflorum (Nutt.) H.Ohashi & R.R.Mill","Hylodesmum pauciflorum"
"Hymenocallis crassifolia Herb.","Hymenocallis crassifolia Herb.","Hymenocallis crassifolia"
"Hymenocallis occidentalis (Leconte) Kunth","Hymenocallis occidentalis (Leconte) Kunth","Hymenocallis occidentalis"
"Hymenocallis sp.","Hymenocallis sp.","Hymenocallis sp."
"Hymenopappus filifolius Hook.","Hymenopappus filifolius Hook.","Hymenopappus filifolius"
"Hymenopappus flavescens A. Gray","Hymenopappus flavescens A.Gray","Hymenopappus flavescens"
"Hymenopappus scabiosaeus L'Hér.","Hymenopappus scabiosaeus L'Hér.","Hymenopappus scabiosaeus"
"Hymenopappus scabiosaeus L'Hér. var. scabiosaeus","Hymenopappus scabiosaeus var. scabiosaeus","Hymenopappus scabiosaeus"
"Hymenopappus scabiosaeus L'Hér. var. corymbosus (Torr. & A. Gray) B.L. Turner","Hymenopappus scabiosaeus var. corymbosus (Torr. & A.Gray) B.L.Turner","Hymenopappus scabiosaeus"
"Hymenopappus sp.","Hymenopappus sp.","Hymenopappus sp."
"Hymenopappus tenuifolius Pursh","Hymenopappus tenuifolius Pursh","Hymenopappus tenuifolius"
"Hymenophyllum lanceolatum Hook. & Arn.","Hymenophyllum lanceolatum Hook. & Arn.","Hymenophyllum lanceolatum"
"Hymenophyllum recurvum Gaudich.","Hymenophyllum recurvum Gaudich.","Hymenophyllum recurvum"
"Hymenophyllum sp.","Hymenophyllum sp.","Hymenophyllum sp."
"Bahia dissecta (A. Gray) Britton","Hymenothrix dissecta (A.Gray) B.G.Baldwin","Hymenothrix dissecta"
"Hymenothrix wislizeni A. Gray","Hymenothrix wislizeni A.Gray","Hymenothrix wislizeni"
"Hymenothrix wrightii A. Gray","Hymenothrix wrightii A.Gray","Hymenothrix wrightii"
"Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","Hymenoxys grandiflora (Torr. & A.Gray) K.F.Parker","Hymenoxys grandiflora"
"Hymenoxys sp.","Hymenoxys sp.","Hymenoxys sp."
"Hypelate trifoliata Sw.","Hypelate trifoliata Sw.","Hypelate trifoliata"
"Hypericum anagalloides Cham. & Schltdl.","Hypericum anagalloides Cham. & Schltdl.","Hypericum anagalloides"
"Hypericum brachyphyllum (Spach) Steud.","Hypericum brachyphyllum (Spach) Steud.","Hypericum brachyphyllum"
"Hypericum cistifolium Lam.","Hypericum cistifolium Lam.","Hypericum cistifolium"
"Hypericum crux-andreae (L.) Crantz","Hypericum crux-andreae (L.) Crantz","Hypericum crux-andreae"
"Hypericum drummondii (Grev. & Hook.) Torr. & A. Gray","Hypericum drummondii (Grev. & Hook.) Torr. & A.Gray","Hypericum drummondii"
"Hypericum fasciculatum Lam.","Hypericum fasciculatum Lam.","Hypericum fasciculatum"
"Triadenum fraseri (Spach) Gleason","Hypericum fraseri (Spach) Steud.","Hypericum fraseri"
"Hypericum gentianoides (L.) Britton, Sterns & Poggenb.","Hypericum gentianoides (L.) Britton, Sterns & Poggenb.","Hypericum gentianoides"
"Hypericum graveolens Buckley","Hypericum graveolens Buckley","Hypericum graveolens"
"Hypericum hypericoides (L.) Crantz","Hypericum hypericoides (L.) Crantz","Hypericum hypericoides"
"Hypericum hypericoides (L.) Crantz ssp. multicaule (Michx. ex Willd.) N. Robson","Hypericum hypericoides subsp. multicaule (Michx. ex Willd.) N.Robson","Hypericum hypericoides"
"Hypericum hypericoides (L.) Crantz ssp. hypericoides","Hypericum hypericoides subsp. hypericoides","Hypericum hypericoides"
"Hypericum majus (A. Gray) Britton","Hypericum majus (A.Gray) Britton","Hypericum majus"
"Hypericum mutilum L.","Hypericum mutilum L.","Hypericum mutilum"
"Hypericum myrtifolium Lam.","Hypericum myrtifolium Lam.","Hypericum myrtifolium"
"Hypericum nudiflorum Michx. ex Willd.","Hypericum nudiflorum Michx. ex Willd.","Hypericum nudiflorum"
"Hypericum perforatum L.","Hypericum perforatum L.","Hypericum perforatum"
"Hypericum punctatum Lam.","Hypericum punctatum Lam.","Hypericum punctatum"
"Hypericum scouleri Hook.","Hypericum scouleri Hook.","Hypericum scouleri"
"Hypericum sp.","Hypericum sp.","Hypericum sp."
"Hypericum spp.","Hypericum spp.","Hypericum sp."
"Hypericum suffruticosum P. Adams & N. Robson","Hypericum suffruticosum P.B.Adams & N.Robson","Hypericum suffruticosum"
"Hypericum tenuifolium Pursh","Hypericum tenuifolium Pursh","Hypericum tenuifolium"
"Hypericum tetrapetalum Lam.","Hypericum tetrapetalum Lam.","Hypericum tetrapetalum"
"Triadenum tubulosum (Walter) Gleason","Hypericum tubulosum Walter","Hypericum tubulosum"
"Triadenum virginicum (L.) Raf.","Hypericum virginicum L.","Hypericum virginicum"
"Triadenum walteri (J.G. Gmel.) Gleason","Hypericum walteri J.F.Gmel.","Hypericum walteri"
"Mollugo cerviana (L.) Ser.","Hypertelis cerviana (L.) Thulin","Hypertelis cerviana"
"Hypochaeris brasiliensis (Less.) Benth. & Hook. ex Griseb.","Hypochaeris chillensis (Kunth) Britton","Hypochaeris chillensis"
"Hypochaeris glabra L.","Hypochaeris glabra L.","Hypochaeris glabra"
"Hypochaeris radicata L.","Hypochaeris radicata L.","Hypochaeris radicata"
"Hypochaeris sp.","Hypochaeris sp.","Hypochaeris sp."
"Hypotrachyna thysanota (Kurok.) Hale","Hypotrachyna thysanota (Kurok.) Hale","Hypotrachyna thysanota"
"Hypoxis curtissii Rose","Hypoxis curtissii Rose","Hypoxis curtissii"
"Hypoxis hirsuta (L.) Coville","Hypoxis hirsuta (L.) Coville","Hypoxis hirsuta"
"Hypoxis juncea Sm.","Hypoxis juncea Sm.","Hypoxis juncea"
"Hypoxis sp.","Hypoxis sp.","Hypoxis sp."
"Hypoxis spp.","Hypoxis spp.","Hypoxis sp."
"Hypoxis wrightii (Baker) Brackett","Hypoxis wrightii (Baker) Brackett","Hypoxis wrightii"
"Hyptis alata (Raf.) Shinners","Hyptis alata (Raf.) Shinners","Hyptis alata"
"Hyptis sp.","Hyptis sp.","Hyptis sp."
"Matelea maritima (Jacq.) Woodson","Ibatia maritima (Jacq.) Decne.","Ibatia maritima"
"Ichnanthus pallens (Sw.) Munro ex Benth.","Ichnanthus pallens (Sw.) Munro ex Benth.","Ichnanthus pallens"
"Ilex ambigua (Michx.) Torr.","Ilex ambigua (Michx.) Torr.","Ilex ambigua"
"Ilex anomala Hook. & Arn.","Ilex anomala Hook. & Arn.","Ilex anomala"
"Ilex aquifolium L.","Ilex aquifolium L.","Ilex aquifolium"
"Ilex cassine L.","Ilex cassine L.","Ilex cassine"
"Ilex coriacea (Pursh) Chapm.","Ilex coriacea (Pursh) Chapm.","Ilex coriacea"
"Ilex decidua Walter","Ilex decidua Walter","Ilex decidua"
"Ilex glabra (L.) A. Gray","Ilex glabra (L.) A.Gray","Ilex glabra"
"Ilex laevigata (Pursh) A. Gray","Ilex laevigata A.Gray","Ilex laevigata"
"Ilex montana Torr. & A. Gray ex A. Gray","Ilex montana Torr. & A.Gray","Ilex montana"
"Ilex mucronata (L.) Powell, Savolainen & Andrews","Ilex mucronata (L.) M.Powell, Savol. & S.Andrews","Ilex mucronata"
"Ilex myrtifolia Walter","Ilex myrtifolia Walter","Ilex myrtifolia"
"Ilex opaca Aiton","Ilex opaca Aiton","Ilex opaca"
"Ilex sp.","Ilex sp.","Ilex sp."
"Ilex verticillata (L.) A. Gray","Ilex verticillata (L.) A.Gray","Ilex verticillata"
"Ilex vomitoria Aiton","Ilex vomitoria Aiton","Ilex vomitoria"
"Illicium floridanum Ellis","Illicium floridanum J.Ellis","Illicium floridanum"
"Impatiens balsamina L.","Impatiens balsamina L.","Impatiens balsamina"
"Impatiens capensis Meerb.","Impatiens capensis Meerb.","Impatiens capensis"
"Impatiens pallida Nutt.","Impatiens pallida Nutt.","Impatiens pallida"
"Impatiens sp.","Impatiens sp.","Impatiens sp."
"Imperata cylindrica (L.) P. Beauv.","Imperata cylindrica (L.) Raeusch.","Imperata cylindrica"
"Indigofera caroliniana Mill.","Indigofera caroliniana Mill.","Indigofera caroliniana"
"Indigofera hirsuta L.","Indigofera hirsuta L.","Indigofera hirsuta"
"Indigofera miniata Ortega","Indigofera miniata Ortega","Indigofera miniata"
"Indigofera sp.","Indigofera sp.","Indigofera sp."
"Indigofera spp.","Indigofera spp.","Indigofera sp."
"Ionactis alpina (Nutt.) Greene","Ionactis alpina (Nutt.) Greene","Ionactis alpina"
"Ionactis linariifolius (L.) Greene","Ionactis linariifolia (L.) Greene","Ionactis linariifolia"
